date,country,daily_new_cases
2020-03-04,Egypt,0
2020-03-05,Egypt,1
2020-03-06,Egypt,12
2020-03-07,Egypt,33
2020-03-08,Egypt,7
2020-03-09,Egypt,4
2020-03-10,Egypt,0
2020-03-11,Egypt,8
2020-03-12,Egypt,13
2020-03-13,Egypt,13
2020-03-14,Egypt,17
2020-03-15,Egypt,16
2020-03-16,Egypt,40
2020-03-17,Egypt,30
2020-03-18,Egypt,14
2020-03-19,Egypt,46
2020-03-20,Egypt,29
2020-03-21,Egypt,9
2020-03-22,Egypt,33
2020-03-23,Egypt,39
2020-03-24,Egypt,36
2020-03-25,Egypt,54
2020-03-26,Egypt,39
2020-03-27,Egypt,41
2020-03-28,Egypt,40
2020-03-29,Egypt,33
2020-03-30,Egypt,47
2020-03-31,Egypt,54
2020-04-01,Egypt,69
2020-04-02,Egypt,86
2020-04-03,Egypt,120
2020-04-04,Egypt,85
2020-04-05,Egypt,103
2020-04-06,Egypt,149
2020-04-07,Egypt,128
2020-04-08,Egypt,110
2020-04-09,Egypt,139
2020-04-10,Egypt,95
2020-04-11,Egypt,145
2020-04-12,Egypt,126
2020-04-13,Egypt,125
2020-04-14,Egypt,160
2020-04-15,Egypt,155
2020-04-16,Egypt,168
2020-04-17,Egypt,171
2020-04-18,Egypt,188
2020-04-19,Egypt,112
2020-04-20,Egypt,189
2020-04-21,Egypt,157
2020-04-22,Egypt,169
2020-04-23,Egypt,232
2020-04-24,Egypt,201
2020-04-25,Egypt,227
2020-04-26,Egypt,215
2020-04-27,Egypt,248
2020-04-28,Egypt,260
2020-04-29,Egypt,226
2020-04-30,Egypt,269
2020-05-01,Egypt,358
2020-05-02,Egypt,298
2020-05-03,Egypt,272
2020-05-04,Egypt,348
2020-05-05,Egypt,388
2020-05-06,Egypt,387
2020-05-07,Egypt,393
2020-05-08,Egypt,495
2020-05-09,Egypt,488
2020-05-10,Egypt,436
2020-05-11,Egypt,346
2020-05-12,Egypt,347
2020-05-13,Egypt,338
